id,name,state,acceptance_rate,avg_sat,avg_act,avg_gpa,tuition_in_state,tuition_out_state,room_board,total_cost_in_state,total_cost_out_state,campus_size,student_population,graduation_rate,retention_rate,selectivity_score,affordability_score,quality_score,top_majors,location_type,public_private,religious_affiliation,athletics_division
114,Georgetown University,TX,0.113,1008,24,2.88,7022,55544,14252,21274,69796,Large,2703,0.769,0.797,0.784,0.734,0.784,"['Physics', 'Architecture', 'Economics', 'Biology', 'Law', 'Computer Science']",Urban,Private,Protestant,None
115,"University of California, Los Angeles (WA)",WA,0.433,1219,22,2.61,58222,43689,15443,73665,59132,Large,24506,0.89,0.922,0.645,0.079,0.802,"['Psychology', 'Computer Science', 'Mathematics', 'Business', 'Art', 'Architecture', 'Law']",Urban,Private,Protestant,NCAA Division II
116,Vanderbilt University,MN,0.773,1239,28,2.63,8793,41958,8397,17190,50355,Large,19837,0.683,0.724,0.446,0.785,0.6,"['Environmental Science', 'Biology', 'Political Science']",Rural,Private,Jewish,NAIA
117,Tufts University (AZ),AZ,0.532,1376,34,3.9,39750,71307,16775,56525,88082,Large,14528,0.755,0.793,0.625,0.293,0.714,"['Education', 'Architecture', 'English', 'Computer Science', 'Physics', 'Law', 'Engineering']",Suburban,Public,None,NCAA Division II
118,Northwestern University,IN,0.874,1455,25,3.17,27441,35535,12202,39643,47737,Small,8474,0.774,0.778,0.439,0.504,0.641,"['Computer Science', 'History', 'Engineering', 'Psychology', 'Political Science', 'Mathematics']",Rural,Private,Other,NCAA Division III
119,Stanford University,NY,0.907,1281,22,3.69,9385,36361,10712,20097,47073,Medium,25996,0.739,0.897,0.376,0.749,0.641,"['Art', 'English', 'Psychology', 'History', 'Physics']",Rural,Public,Other,NAIA
120,University of Minnesota,CT,0.162,1244,30,3.5,8248,42605,19251,27499,61856,Large,2469,0.92,0.926,0.814,0.656,0.879,"['Economics', 'Business', 'Computer Science', 'English', 'Art']",Urban,Private,Other,NCAA Division II
121,University of Colorado,NJ,0.181,1563,22,3.38,8998,59947,8798,17796,68745,Medium,21163,0.625,0.704,0.882,0.778,0.751,"['Business', 'Architecture', 'Chemistry', 'Political Science', 'Psychology', 'History', 'Environmental Science']",Suburban,Private,Other,NCAA Division II
122,Northwestern University (MA),MA,0.538,1113,21,3.82,50050,72593,11265,61315,83858,Medium,6034,0.977,0.946,0.556,0.234,0.799,"['Psychology', 'Law', 'Art', 'Music', 'Education', 'Computer Science', 'Architecture', 'Mathematics']",Suburban,Public,Protestant,NCAA Division II
123,Northwestern University (OR),OR,0.064,1096,34,3.81,41601,35763,17782,59383,53545,Large,14954,0.897,0.804,0.836,0.258,0.844,"['Education', 'Biology', 'Music', 'Chemistry', 'Business', 'Art', 'Psychology', 'English']",Suburban,Public,Catholic,None
124,Case Western Reserve University,NJ,0.454,1280,20,2.97,22213,56572,15265,37478,71837,Small,32078,0.641,0.718,0.648,0.532,0.667,"['Music', 'Mathematics', 'English', 'Education', 'Psychology', 'Physics', 'Chemistry']",Urban,Private,Other,NAIA
125,University of Colorado,CA,0.251,1396,24,2.67,12107,74517,9509,21616,84026,Large,7712,0.603,0.935,0.798,0.73,0.781,"['Chemistry', 'Biology', 'Psychology', 'Business', 'Engineering', 'Computer Science', 'Law']",Rural,Private,Other,None
126,University of Colorado,CT,0.334,1538,22,3.33,55615,44799,11616,67231,56415,Large,42318,0.66,0.869,0.784,0.16,0.772,"['Education', 'Business', 'Chemistry']",Rural,Private,Jewish,NAIA
127,University of Wisconsin,IL,0.445,1177,22,2.75,26780,77932,15185,41965,93117,Large,17731,0.651,0.739,0.627,0.475,0.668,"['Economics', 'Mathematics', 'History', 'Political Science']",Rural,Private,Protestant,NCAA Division II
128,Brandeis University (UT),UT,0.105,1059,23,2.9,26745,79522,8167,34912,87689,Medium,13132,0.69,0.927,0.802,0.564,0.806,"['Art', 'Business', 'Political Science', 'Economics', 'Psychology']",Urban,Public,Other,NCAA Division I
129,University of Miami,MA,0.182,1442,21,2.96,44494,63373,13804,58298,77177,Large,9050,0.773,0.88,0.851,0.271,0.836,"['Music', 'Medicine', 'Law', 'Education', 'Physics', 'Art', 'Engineering', 'Computer Science']",Urban,Public,Catholic,NAIA
130,Ohio State University (UT),UT,0.14,1520,20,3.64,28212,69438,15526,43738,84964,Large,1560,0.715,0.743,0.896,0.453,0.796,"['Computer Science', 'Nursing', 'History', 'Psychology', 'Environmental Science', 'Law', 'Education']",Rural,Public,Protestant,NCAA Division II
131,Northeastern University,TX,0.897,1150,21,3.13,45448,16927,10729,56177,27656,Large,46505,0.717,0.86,0.349,0.298,0.613,"['History', 'Economics', 'Art', 'Business', 'Psychology', 'Political Science']",Urban,Public,Catholic,NCAA Division I
132,Southern Methodist University,IL,0.818,1409,22,2.96,35507,57406,14829,50336,72235,Small,21824,0.871,0.798,0.461,0.371,0.685,"['Mathematics', 'Architecture', 'Engineering']",Rural,Private,Catholic,NCAA Division II
133,University of Michigan,TX,0.22,1394,25,3.26,57943,27984,13114,71057,41098,Medium,23119,0.643,0.817,0.817,0.112,0.765,"['Business', 'English', 'Economics']",Suburban,Private,Other,None
134,University of Iowa,OH,0.306,1447,27,3.5,53760,59432,14716,68476,74148,Medium,39498,0.923,0.79,0.778,0.144,0.825,"['Chemistry', 'Art', 'English', 'Medicine', 'Economics', 'Education', 'Psychology', 'Physics']",Suburban,Private,Catholic,NCAA Division II
135,University of Notre Dame (MI),MI,0.495,1214,19,2.56,35626,45029,10405,46031,55434,Large,2778,0.955,0.801,0.606,0.425,0.769,"['Music', 'Chemistry', 'Biology', 'Computer Science']",Rural,Private,Other,NAIA
136,University of North Carolina,IA,0.703,1511,27,2.99,32791,56269,17506,50297,73775,Medium,41293,0.94,0.745,0.556,0.371,0.728,"['Physics', 'Chemistry', 'Engineering', 'Law', 'Architecture', 'Medicine']",Suburban,Public,Other,NCAA Division II
137,University of Utah (WI),WI,0.884,1415,30,3.27,41305,56128,18025,59330,74153,Medium,6942,0.833,0.922,0.424,0.258,0.696,"['History', 'Engineering', 'Architecture', 'Biology', 'Nursing', 'Chemistry', 'Education']",Suburban,Public,Jewish,NCAA Division III
138,Northwestern University,NJ,0.253,1421,32,3.22,6353,75953,11409,17762,87362,Medium,47558,0.705,0.778,0.803,0.778,0.766,"['Mathematics', 'Art', 'Physics']",Rural,Public,Protestant,NCAA Division I
139,Wake Forest University,IL,0.382,1009,25,3.13,46184,44523,14145,60329,58668,Large,7529,0.703,0.888,0.623,0.246,0.727,"['Education', 'Art', 'Nursing', 'Psychology']",Rural,Public,Protestant,NCAA Division III
140,University of Utah,OH,0.453,1196,36,3.46,47105,63516,12553,59658,76069,Large,26103,0.618,0.749,0.627,0.254,0.661,"['Engineering', 'Education', 'Architecture', 'Mathematics', 'Environmental Science', 'Nursing', 'Music', 'Computer Science']",Urban,Public,None,NCAA Division I
141,Penn State University,NJ,0.737,1061,25,3.08,16447,44735,14481,30928,59216,Large,6086,0.868,0.905,0.423,0.613,0.701,"['Engineering', 'Physics', 'History']",Urban,Private,Jewish,NAIA
142,"University of California, Berkeley",PA,0.266,1545,25,3.08,26619,57014,8416,35035,65430,Large,10396,0.75,0.802,0.826,0.562,0.796,"['English', 'Business', 'Medicine', 'Music']",Suburban,Public,Catholic,None
143,Brown University,UT,0.078,1286,24,3.66,13536,62673,14026,27562,76699,Small,9892,0.979,0.771,0.875,0.655,0.875,"['Environmental Science', 'Chemistry', 'Political Science', 'Physics']",Urban,Public,Catholic,NCAA Division I
144,University of Pennsylvania,CT,0.326,1568,32,2.81,47203,52663,17223,64426,69886,Medium,9445,0.919,0.965,0.797,0.195,0.884,"['Business', 'History', 'Psychology', 'Medicine', 'Art', 'Political Science', 'Nursing']",Suburban,Private,None,None
145,University of Iowa,TX,0.475,1567,31,3.44,39635,67829,13348,52983,81177,Large,40244,0.759,0.977,0.707,0.338,0.803,"['Economics', 'Chemistry', 'Business', 'Mathematics', 'Engineering', 'Computer Science', 'Nursing']",Urban,Private,None,NCAA Division III
146,Brown University,IL,0.767,1508,23,2.88,58738,49519,17568,76306,67087,Small,17168,0.937,0.755,0.517,0.046,0.714,"['Psychology', 'English', 'Education', 'Biology', 'Medicine', 'Music', 'Business', 'Political Science']",Suburban,Private,Protestant,NCAA Division III
147,Penn State University,OR,0.536,1256,36,3.52,57867,45865,8897,66764,54762,Large,4982,0.826,0.902,0.592,0.165,0.756,"['Medicine', 'Art', 'Political Science', 'Music', 'Environmental Science']",Urban,Private,Catholic,NCAA Division III
148,University of Miami (CT),CT,0.897,1420,21,3.22,26215,60634,13787,40002,74421,Large,16159,0.769,0.834,0.417,0.5,0.648,"['Political Science', 'Biology', 'Environmental Science', 'English', 'History', 'Law', 'Business', 'Mathematics']",Urban,Public,Protestant,NCAA Division II
149,"University of California, San Diego (AZ)",AZ,0.479,1033,27,3.75,34005,46010,16260,50265,62270,Medium,13246,0.867,0.807,0.571,0.372,0.731,"['Economics', 'History', 'Art']",Suburban,Private,Jewish,NCAA Division II
150,Princeton University (AZ),AZ,0.644,1265,29,3.32,51528,27260,18687,70215,45947,Small,3204,0.912,0.768,0.53,0.122,0.716,"['Business', 'Environmental Science', 'Political Science', 'Psychology']",Suburban,Public,Other,NCAA Division II
151,Indiana University (WI),WI,0.261,1028,36,3.91,46141,26836,13787,59928,40623,Small,37185,0.87,0.819,0.7,0.251,0.787,"['Political Science', 'Environmental Science', 'Art', 'Music']",Suburban,Public,None,NCAA Division II
152,Tufts University,MN,0.331,1124,23,2.56,16080,48725,9214,25294,57939,Medium,26554,0.913,0.709,0.682,0.684,0.759,"['Mathematics', 'Chemistry', 'Biology', 'Environmental Science', 'Engineering', 'Education', 'Psychology']",Suburban,Private,Protestant,NCAA Division III
153,University of Wisconsin (TX),TX,0.472,1098,33,3.69,39923,44242,13836,53759,58078,Medium,11905,0.775,0.968,0.591,0.328,0.76,"['Physics', 'Biology', 'Art', 'Business', 'Economics', 'Architecture', 'History']",Urban,Private,Jewish,NCAA Division I
154,Dartmouth College,CA,0.296,1161,24,2.97,33833,17193,9108,42941,26301,Small,2117,0.607,0.787,0.712,0.463,0.703,"['Nursing', 'Medicine', 'Biology', 'Art', 'Engineering', 'Business']",Rural,Public,Other,NCAA Division III
155,University of Rochester (IL),IL,0.607,1360,21,2.56,52207,18961,12450,64657,31411,Medium,13851,0.615,0.779,0.576,0.192,0.649,"['Nursing', 'Environmental Science', 'Physics', 'Computer Science', 'Biology', 'Chemistry', 'Art']",Suburban,Public,None,NCAA Division II
156,Vanderbilt University,IN,0.153,1387,21,3.59,56728,50345,10607,67335,60952,Small,36655,0.945,0.979,0.855,0.158,0.919,"['Architecture', 'Computer Science', 'Chemistry', 'Music', 'Education']",Suburban,Private,None,NCAA Division II
157,Princeton University,NJ,0.255,1302,32,3.94,56092,49874,10560,66652,60434,Small,7937,0.748,0.919,0.772,0.167,0.809,"['Nursing', 'Engineering', 'Political Science', 'Biology', 'Environmental Science', 'History', 'Architecture']",Suburban,Public,None,NCAA Division I
158,Southern Methodist University,NY,0.32,1565,30,3.36,41538,47050,15509,57047,62559,Small,46890,0.622,0.942,0.799,0.287,0.789,"['Nursing', 'Law', 'Medicine']",Rural,Private,None,NCAA Division II
159,University of Washington (IL),IL,0.437,1035,19,3.33,13408,68270,18629,32037,86899,Large,10392,0.927,0.845,0.596,0.6,0.77,"['Economics', 'Computer Science', 'Education', 'Physics', 'English', 'Music']",Suburban,Private,Protestant,NAIA
160,Northeastern University (CO),CO,0.618,1038,18,2.77,45602,33267,9600,55202,42867,Large,29884,0.74,0.805,0.489,0.31,0.659,"['Psychology', 'Law', 'Biology', 'Business']",Suburban,Public,Catholic,NCAA Division II
161,Brandeis University (CA),CA,0.73,1541,18,3.13,51111,46948,19585,70696,66533,Medium,23321,0.615,0.869,0.547,0.116,0.664,"['Mathematics', 'English', 'Education', 'Chemistry', 'Law', 'Music', 'Computer Science']",Rural,Private,Protestant,NCAA Division I
162,University of Pennsylvania,IN,0.582,1018,31,2.56,19879,15480,13470,33349,28950,Large,27542,0.969,0.713,0.505,0.583,0.707,"['Economics', 'Medicine', 'Law', 'Environmental Science']",Suburban,Private,Jewish,NAIA
163,Rice University (PA),PA,0.803,1539,30,2.53,52868,31393,17899,70767,49292,Large,25732,0.762,0.939,0.503,0.115,0.712,"['Biology', 'Physics', 'Engineering', 'Business', 'Political Science', 'Computer Science', 'Music', 'Mathematics']",Rural,Private,None,NCAA Division III
164,Penn State University,MI,0.058,1000,30,3.78,53528,32396,14875,68403,47271,Small,32690,0.873,0.937,0.815,0.145,0.869,"['Mathematics', 'Political Science', 'English', 'History', 'Nursing', 'Psychology', 'Economics', 'Biology']",Urban,Public,Protestant,NCAA Division I
165,Boston University,MN,0.203,1204,31,3.57,46613,67849,12525,59138,80374,Large,24850,0.842,0.735,0.779,0.261,0.785,"['Physics', 'Education', 'Art', 'Law', 'Psychology', 'Business', 'Computer Science', 'Chemistry']",Urban,Private,None,NCAA Division II
166,Rice University,CO,0.309,1317,21,3.94,7892,60798,17801,25693,78599,Large,47052,0.744,0.957,0.744,0.679,0.808,"['Political Science', 'Environmental Science', 'Music', 'Architecture', 'English']",Suburban,Private,Jewish,NCAA Division III
167,Northeastern University (NY),NY,0.277,1427,24,3.5,22506,76615,13420,35926,90035,Medium,48068,0.686,0.843,0.791,0.551,0.775,"['Nursing', 'Art', 'English', 'Architecture', 'Law', 'Medicine', 'Chemistry', 'Engineering']",Rural,Private,Protestant,NCAA Division III
168,University of Miami,IL,0.586,1500,20,3.74,35073,21457,10470,45543,31927,Medium,14676,0.722,0.78,0.624,0.431,0.7,"['Education', 'Business', 'Engineering', 'History', 'Physics']",Suburban,Private,Catholic,NCAA Division III
169,Brown University,CO,0.847,1568,36,3.1,53072,18855,17854,70926,36709,Small,1579,0.824,0.976,0.484,0.113,0.733,"['Biology', 'Chemistry', 'Mathematics']",Urban,Private,Other,NCAA Division I
170,Princeton University,OR,0.933,1005,20,3.52,26553,26713,10663,37216,37376,Small,13103,0.628,0.742,0.292,0.535,0.528,"['Environmental Science', 'Education', 'Computer Science', 'Art', 'Chemistry', 'Business']",Rural,Public,Catholic,NCAA Division II
171,Rice University,PA,0.437,1241,34,3.61,24578,24292,13018,37596,37310,Large,32119,0.692,0.79,0.648,0.53,0.704,"['Business', 'Physics', 'Nursing']",Rural,Private,Catholic,NAIA
172,Wake Forest University (WI),WI,0.89,1312,21,3.52,34915,39811,14058,48973,53869,Medium,25251,0.607,0.711,0.394,0.388,0.553,"['Engineering', 'Biology', 'Mathematics', 'Art']",Urban,Private,Jewish,None
173,Columbia University,OR,0.5,1260,34,3.75,25000,41580,10514,35514,52094,Large,25733,0.715,0.942,0.615,0.556,0.743,"['Physics', 'Medicine', 'Music', 'Computer Science', 'Law', 'Economics', 'History', 'Biology']",Suburban,Public,Protestant,None
174,University of Virginia,CO,0.183,1173,22,3.72,57054,25276,17850,74904,43126,Small,43060,0.824,0.768,0.783,0.064,0.791,"['Nursing', 'Art', 'Business', 'Engineering', 'Mathematics']",Suburban,Private,Other,NCAA Division II
175,MIT (MA),MA,0.484,1261,25,3.63,35466,35252,13788,49254,49040,Large,35811,0.902,0.962,0.625,0.384,0.809,"['English', 'History', 'Education', 'Art', 'Engineering', 'Chemistry']",Urban,Private,Catholic,NCAA Division III
176,University of Pennsylvania,IA,0.585,1282,23,3.08,14064,62285,10662,24726,72947,Large,1454,0.703,0.834,0.569,0.691,0.689,"['Psychology', 'History', 'Environmental Science', 'Chemistry', 'Music', 'Business', 'Mathematics', 'Political Science']",Rural,Public,None,NCAA Division I
177,Penn State University (TX),TX,0.357,1244,31,3.63,32323,59423,19897,52220,79320,Large,47130,0.754,0.964,0.697,0.347,0.794,"['Engineering', 'Computer Science', 'Law']",Rural,Private,Other,None
178,Arizona State University,TX,0.805,1182,31,3.93,31473,67076,15618,47091,82694,Large,5736,0.62,0.899,0.412,0.411,0.621,"['Medicine', 'Computer Science', 'Physics', 'Environmental Science', 'Business', 'Psychology', 'Education']",Urban,Public,Other,NCAA Division I
179,Texas A&M University,CT,0.304,1073,36,2.75,48033,40724,13321,61354,54045,Small,11292,0.6,0.872,0.686,0.233,0.716,"['Law', 'Music', 'Political Science']",Suburban,Public,Protestant,NAIA
180,University of Utah (NJ),NJ,0.253,1279,32,3.81,38235,38949,18348,56583,57297,Large,12992,0.611,0.862,0.768,0.293,0.749,"['History', 'Computer Science', 'Architecture', 'Medicine', 'Economics']",Suburban,Public,Jewish,NAIA
181,Southern Methodist University (AZ),AZ,0.83,1475,28,2.75,51397,50305,10530,61927,60835,Large,18342,0.629,0.958,0.47,0.226,0.664,"['Art', 'Mathematics', 'Law', 'Medicine']",Urban,Public,None,NCAA Division I
182,Tufts University,AZ,0.772,1113,22,3.61,32091,60607,8886,40977,69493,Small,38124,0.75,0.834,0.415,0.488,0.641,"['Law', 'Psychology', 'Biology', 'Business', 'Computer Science', 'Engineering']",Suburban,Private,None,NCAA Division II
183,Brandeis University,NY,0.17,1233,34,2.63,8207,62326,17611,25818,79937,Small,8069,0.868,0.896,0.806,0.677,0.851,"['Music', 'History', 'Medicine', 'Business']",Urban,Private,Other,NCAA Division III
184,University of Miami (WA),WA,0.487,1038,23,3.93,11517,68687,16332,27849,85019,Large,7335,0.717,0.974,0.567,0.652,0.734,"['Environmental Science', 'Engineering', 'Law', 'Biology', 'Psychology']",Suburban,Private,Catholic,NCAA Division I
185,University of Texas (MI),MI,0.765,1169,19,3.89,7403,37742,15611,23014,53353,Medium,43302,0.77,0.946,0.433,0.712,0.688,"['Environmental Science', 'English', 'Biology', 'Architecture', 'Economics']",Suburban,Private,None,NCAA Division I
186,Brown University,CT,0.091,1503,20,3.13,7177,21746,16378,23555,38124,Large,37836,0.75,0.805,0.921,0.706,0.835,"['Medicine', 'Mathematics', 'Business', 'English', 'Biology', 'Environmental Science', 'Chemistry', 'Psychology']",Rural,Public,Protestant,None
187,Texas A&M University,AZ,0.807,1185,34,2.92,20149,18650,19553,39702,38203,Large,30462,0.749,0.709,0.412,0.504,0.602,"['Nursing', 'Business', 'Medicine']",Rural,Public,None,None
188,University of Illinois (WA),WA,0.302,1034,33,3.86,13566,69676,13572,27138,83248,Medium,21980,0.807,0.855,0.677,0.661,0.77,"['Music', 'Engineering', 'English']",Urban,Private,Protestant,NAIA
189,Tufts University,IA,0.696,1384,21,3.99,37258,34636,8993,46251,43629,Large,8185,0.603,0.866,0.528,0.422,0.652,"['Environmental Science', 'Nursing', 'Chemistry', 'Psychology', 'Architecture', 'Biology']",Urban,Private,Other,NCAA Division I
190,Rice University,MA,0.071,1444,34,3.25,25509,29804,11985,37494,41789,Small,45790,0.69,0.861,0.919,0.531,0.833,"['Music', 'Law', 'Education', 'Architecture', 'Political Science', 'Physics', 'Medicine']",Suburban,Private,None,NCAA Division II
191,University of Arizona (NJ),NJ,0.314,1269,25,2.93,53335,37642,10828,64163,48470,Large,33539,0.972,0.79,0.729,0.198,0.82,"['Music', 'Environmental Science', 'Psychology', 'Computer Science']",Rural,Public,Catholic,NAIA
192,University of Pennsylvania,UT,0.286,1127,35,3.69,39024,48227,13173,52197,61400,Small,7411,0.641,0.771,0.71,0.348,0.708,"['Mathematics', 'Architecture', 'Medicine', 'Political Science', 'Economics', 'Art', 'Education']",Rural,Public,None,NCAA Division III
193,Brandeis University (IN),IN,0.591,1082,21,3.0,36856,25638,17030,53886,42668,Small,48331,0.823,0.782,0.516,0.326,0.688,"['Architecture', 'Environmental Science', 'Law']",Urban,Public,Protestant,NAIA
194,University of Oregon,OH,0.517,1523,28,3.53,23698,32647,12506,36204,45153,Medium,15123,0.924,0.905,0.67,0.547,0.817,"['Biology', 'Education', 'Environmental Science']",Rural,Private,Other,NCAA Division II
195,Emory University,UT,0.169,1497,36,3.53,19452,45805,9567,29019,55372,Small,8776,0.693,0.887,0.873,0.637,0.823,"['Law', 'Music', 'Mathematics', 'Environmental Science']",Rural,Public,Jewish,None
196,Tufts University,NY,0.294,1410,36,2.7,23752,51070,18433,42185,69503,Large,6969,0.911,0.855,0.776,0.473,0.84,"['Education', 'Physics', 'Law', 'Medicine', 'Art', 'Business', 'Mathematics', 'English']",Suburban,Private,Protestant,NAIA
197,University of Wisconsin,NJ,0.39,1456,35,2.58,20309,17082,16991,37300,34073,Small,27032,0.902,0.86,0.73,0.534,0.821,"['Engineering', 'Architecture', 'Nursing', 'Business', 'Physics', 'Computer Science', 'Economics', 'History']",Rural,Public,Catholic,NCAA Division III
198,Georgetown University (MN),MN,0.693,1103,19,3.83,42550,46910,19211,61761,66121,Small,33585,0.964,0.909,0.46,0.228,0.746,"['Economics', 'Medicine', 'History', 'Nursing', 'Business', 'Environmental Science', 'Chemistry']",Suburban,Public,Catholic,None
199,University of Wisconsin,WA,0.762,1474,32,3.19,41472,51290,16452,57924,67742,Small,36103,0.777,0.881,0.512,0.276,0.702,"['Law', 'Environmental Science', 'Education', 'Mathematics', 'Psychology', 'Physics', 'Music']",Rural,Public,Other,NCAA Division I
200,Princeton University,IL,0.149,1312,21,3.32,6083,42297,12941,19024,55238,Large,39119,0.827,0.874,0.838,0.762,0.846,"['Chemistry', 'Political Science', 'Business']",Suburban,Private,Catholic,NAIA
201,MIT (MA),MA,0.633,1186,31,3.79,19973,70904,12267,32240,83171,Large,30067,0.847,0.955,0.517,0.597,0.747,"['Nursing', 'Business', 'Environmental Science', 'Physics']",Urban,Public,Other,NCAA Division II
202,Baylor University (CT),CT,0.091,1114,27,2.98,17778,25698,19832,37610,45530,Small,14500,0.79,0.783,0.824,0.53,0.802,"['Political Science', 'Environmental Science', 'Economics', 'Architecture', 'History', 'Engineering', 'Biology']",Suburban,Private,Catholic,NAIA
203,Stanford University (UT),UT,0.321,1517,33,2.73,45128,31335,9685,54813,41020,Medium,35812,0.605,0.732,0.787,0.315,0.716,"['History', 'Physics', 'Medicine', 'Economics', 'Architecture']",Urban,Public,Protestant,NCAA Division II
204,University of Oregon,OR,0.055,1053,18,3.4,46223,18743,17612,63835,36355,Small,9764,0.817,0.835,0.83,0.202,0.828,"['Medicine', 'Economics', 'Music', 'Environmental Science', 'Chemistry', 'Architecture']",Rural,Public,Jewish,None
205,Yale University (MA),MA,0.651,1185,35,3.82,48676,32907,19907,68583,52814,Medium,5774,0.655,0.911,0.506,0.143,0.672,"['Computer Science', 'Medicine', 'Engineering']",Urban,Public,Other,NCAA Division II
206,Brandeis University,UT,0.64,1356,30,3.99,47196,28870,18737,65933,47607,Small,31287,0.603,0.901,0.555,0.176,0.673,"['History', 'Political Science', 'Business', 'Biology', 'Medicine', 'Law', 'Physics']",Urban,Private,Other,None
207,Stanford University,NY,0.171,1059,18,3.87,57417,68375,19792,77209,88167,Small,30759,0.881,0.73,0.762,0.035,0.788,"['Engineering', 'Chemistry', 'Biology', 'Architecture', 'Art', 'Political Science']",Rural,Private,Protestant,NCAA Division III
208,University of Iowa,NY,0.398,1089,36,2.73,22219,44643,11906,34125,56549,Large,32333,0.744,0.931,0.633,0.573,0.756,"['Mathematics', 'Engineering', 'Law', 'Medicine']",Suburban,Private,Jewish,NCAA Division III
209,University of North Carolina,CO,0.28,1437,23,3.77,45969,79699,16232,62201,95931,Large,4959,0.758,0.826,0.791,0.222,0.792,"['Business', 'Nursing', 'Computer Science', 'Economics', 'Art', 'Music', 'Chemistry', 'Psychology']",Urban,Public,Other,None
210,University of Iowa (CA),CA,0.894,1223,25,3.48,50219,57142,9866,60085,67008,Small,13572,0.744,0.741,0.369,0.249,0.593,"['Music', 'Engineering', 'Computer Science', 'English']",Suburban,Public,Protestant,NAIA
211,University of Pennsylvania,AZ,0.063,1561,35,3.52,23710,46707,9018,32728,55725,Medium,29899,0.975,0.978,0.952,0.591,0.967,"['English', 'Chemistry', 'Computer Science', 'Engineering', 'Environmental Science', 'Architecture', 'Political Science', 'Economics']",Suburban,Public,Other,None
212,University of North Carolina (IA),IA,0.425,1461,25,3.19,32786,77798,15378,48164,93176,Large,34155,0.942,0.846,0.711,0.398,0.82,"['English', 'Art', 'Mathematics', 'Music', 'Physics', 'Biology', 'Computer Science', 'Chemistry']",Rural,Private,None,NCAA Division I
213,University of Virginia,CT,0.705,1105,19,3.64,24216,39179,18897,43113,58076,Medium,17851,0.729,0.966,0.453,0.461,0.69,"['Environmental Science', 'History', 'English', 'Law', 'Political Science']",Urban,Private,Protestant,NCAA Division II
214,Tufts University,OR,0.241,1084,34,3.82,50062,27497,9760,59822,37257,Small,49387,0.785,0.836,0.726,0.252,0.777,"['Computer Science', 'Psychology', 'Economics', 'English', 'Biology', 'Architecture', 'Political Science']",Rural,Public,Catholic,NCAA Division II
215,Wake Forest University,MN,0.531,1073,34,3.33,36951,53087,9900,46851,62987,Small,33974,0.899,0.797,0.55,0.414,0.729,"['Chemistry', 'Law', 'English', 'Art', 'Political Science', 'Biology']",Rural,Private,Jewish,NCAA Division I
216,Brown University,PA,0.828,1495,28,2.56,49456,58898,13861,63317,72759,Large,5785,0.892,0.938,0.477,0.209,0.74,"['Mathematics', 'Economics', 'Physics', 'Psychology', 'Nursing', 'Biology', 'English', 'Chemistry']",Suburban,Public,None,NCAA Division I
217,University of Notre Dame,NJ,0.236,1255,27,2.61,12209,61204,16874,29083,78078,Small,45451,0.735,0.971,0.772,0.636,0.821,"['Political Science', 'Medicine', 'Education', 'Nursing', 'Mathematics', 'Music', 'Art']",Rural,Public,Catholic,NCAA Division III
218,University of Utah,TX,0.72,1173,22,3.35,59588,42372,12474,72062,54846,Large,1899,0.706,0.725,0.462,0.099,0.614,"['Economics', 'Nursing', 'Art', 'Architecture', 'Business', 'Environmental Science']",Suburban,Private,Protestant,NCAA Division I
219,University of Miami,OH,0.786,1129,23,2.87,18399,39983,12138,30537,52121,Large,26620,0.767,0.786,0.41,0.618,0.63,"['Physics', 'History', 'English', 'Business']",Urban,Public,Protestant,NCAA Division II
220,Princeton University,WA,0.142,1283,35,3.55,34658,38747,9211,43869,47958,Medium,22020,0.642,0.964,0.835,0.452,0.816,"['Chemistry', 'Art', 'Nursing', 'Physics', 'Psychology', 'Economics', 'Environmental Science']",Suburban,Private,None,NCAA Division III
221,Harvard University (OR),OR,0.497,1387,18,2.77,20987,65138,17232,38219,82370,Large,4696,0.7,0.943,0.648,0.522,0.752,"['Mathematics', 'Physics', 'Music']",Urban,Private,Other,NCAA Division I
222,University of Illinois,WI,0.197,1057,18,3.85,21752,27916,17729,39481,45645,Large,34364,0.74,0.772,0.746,0.506,0.752,"['Economics', 'Law', 'English']",Suburban,Private,None,NCAA Division I
223,Yale University,IA,0.448,1516,26,3.72,40993,20534,17910,58903,38444,Large,17001,0.687,0.821,0.71,0.264,0.736,"['Physics', 'Environmental Science', 'Education', 'Biology']",Urban,Public,Other,None
224,Southern Methodist University,WA,0.305,1128,35,2.88,30489,28170,9525,40014,37695,Medium,2867,0.613,0.872,0.699,0.5,0.725,"['Engineering', 'Biology', 'Medicine']",Urban,Public,Jewish,NAIA
225,Yale University,MN,0.662,1471,25,3.6,33201,41218,16836,50037,58054,Small,3849,0.668,0.907,0.57,0.375,0.701,"['Architecture', 'Physics', 'History', 'Nursing', 'Engineering']",Urban,Public,Catholic,NCAA Division I
226,Harvard University,CO,0.758,1504,20,2.92,50290,15347,10764,61054,26111,Medium,24906,0.835,0.938,0.521,0.237,0.74,"['Education', 'Physics', 'Political Science', 'Environmental Science']",Suburban,Public,Other,NCAA Division II
227,Princeton University (NY),NY,0.336,1312,34,3.11,30541,31057,8779,39320,39836,Large,47492,0.637,0.733,0.726,0.508,0.701,"['Mathematics', 'Engineering', 'Computer Science', 'Education', 'Nursing', 'Law']",Urban,Private,Catholic,None
